-	mapped_CRC001_H_single.sam	mapped_CRC001_T_single.sam	mapped_CRC002_H_single.sam	mapped_CRC002_T_single.sam	mapped_CRC003_H_single.sam	mapped_CRC003_T_single.sam	mapped_CRC004_H_single.sam	mapped_CRC004_T_single.sam	mapped_CRC005_H_single.sam	mapped_CRC005_T_single.sam	mapped_CRC006_H_single.sam	mapped_CRC006_T_single.sam	mapped_CRC007_H_single.sam	mapped_CRC007_T_single.sam	mapped_CRC009_H_single.sam	mapped_CRC009_T_single.sam	mapped_CRC010_H_single.sam	mapped_CRC010_T_single.sam	mapped_CRC011_H_single.sam	mapped_CRC011_T_single.sam	mapped_CRC012_H_single.sam	mapped_CRC012_T_single.sam	mapped_CRC013_H_single.sam	mapped_CRC013_T_single.sam
NODE_37261_length_911_cov_2.33528	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0
NODE_37311_length_1052_cov_1.65898	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NODE_37323_length_871_cov_4.61765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	13
NODE_37343_length_806_cov_2.71372	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	5
NODE_37398_length_1238_cov_1.89518	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	7	0	1	0	0	0	0	0	1
NODE_37409_length_1889_cov_2.62541	0	0	0	0	0	0	0	0	8	1	0	0	0	0	7	8	0	0	1	2	0	0	0	0
NODE_37420_length_1487_cov_1.56634	0	0	0	0	0	2	0	0	7	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0
NODE_37446_length_1044_cov_1.74216	0	0	0	1	0	0	0	0	0	0	2	4	0	0	0	0	0	1	0	0	0	0	0	0
NODE_37467_length_983_cov_4.08405	0	0	0	0	0	0	1	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	11
NODE_37511_length_1042_cov_2.48936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	1	0	0	0	0
NODE_37577_length_2486_cov_2.39984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	21	0	0	0	1	2	0	1	0
NODE_37583_length_857_cov_2.12095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
NODE_37603_length_1271_cov_2.08388	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	5	0	0	1	0	0	0	0	1
NODE_37611_length_1440_cov_2.35957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	0	0	1	1	1	0	0	0
NODE_37675_length_956_cov_2.37514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
NODE_37738_length_975_cov_2.10435	5	2	0	1	1	1	0	4	0	3	0	2	0	0	0	0	0	0	0	2	0	0	1	6
NODE_37743_length_1051_cov_2.2751	4	4	0	0	2	1	0	0	0	1	1	0	1	0	0	0	3	0	0	0	0	1	1	0
NODE_37777_length_867_cov_4.47167	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	16
NODE_37787_length_1171_cov_1.51523	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_37802_length_828_cov_1.36869	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
